epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,1797.91,0.82295,0.6743,1.23948,0.79887,0.75998,0.78774,0.52503,1.44016,1.20117,2.13239,0.000726312,0.000726312,0.000726312
116,1812.61,0.78685,0.67149,1.21712,0.78136,0.74438,0.76522,0.52711,1.42559,1.2119,2.12603,0.00071806,0.00071806,0.00071806
117,1826.98,0.80335,0.67387,1.22804,0.75977,0.75691,0.77155,0.52862,1.43177,1.18152,2.0725,0.000709809,0.000709809,0.000709809
118,1841.53,0.79957,0.65431,1.23083,0.80783,0.74712,0.76689,0.51431,1.46424,1.22259,2.1219,0.000701557,0.000701557,0.000701557
119,1856.79,0.79963,0.65543,1.22966,0.81883,0.7511,0.78612,0.52162,1.40574,1.12996,2.04358,0.000693305,0.000693305,0.000693305
120,1871.58,0.78409,0.66097,1.21488,0.82193,0.73288,0.76543,0.50485,1.53293,1.19615,2.20403,0.000685054,0.000685054,0.000685054
121,1886.78,0.81726,0.67746,1.23744,0.80612,0.77391,0.78199,0.53395,1.41577,1.17613,2.06175,0.000676802,0.000676802,0.000676802
122,1901.84,0.76542,0.64236,1.20737,0.77007,0.72923,0.74722,0.50776,1.47799,1.2676,2.15607,0.00066855,0.00066855,0.00066855
123,1915.99,0.77897,0.63557,1.21203,0.78062,0.72206,0.76589,0.52107,1.43876,1.23231,2.09955,0.000660299,0.000660299,0.000660299
124,1931.04,0.77505,0.64152,1.21728,0.8429,0.74958,0.77791,0.53344,1.50054,1.12038,2.17391,0.000652047,0.000652047,0.000652047
125,1945.45,0.77713,0.6263,1.21894,0.78473,0.70298,0.7457,0.52756,1.41498,1.22057,2.10201,0.000643795,0.000643795,0.000643795
126,1960.41,0.76545,0.64303,1.21245,0.74908,0.73418,0.75512,0.53149,1.3852,1.18025,2.08898,0.000635544,0.000635544,0.000635544
127,1974.97,0.74936,0.63804,1.19254,0.82345,0.72705,0.77881,0.54343,1.42153,1.20939,2.10486,0.000627292,0.000627292,0.000627292
128,1989.85,0.78213,0.63618,1.21442,0.80491,0.74673,0.77383,0.54367,1.4016,1.16811,2.11419,0.00061904,0.00061904,0.00061904
129,2004.29,0.77253,0.63585,1.22147,0.82414,0.74261,0.78176,0.52405,1.45634,1.18389,2.19712,0.000610789,0.000610789,0.000610789
130,2019.25,0.76521,0.62943,1.19208,0.83181,0.72206,0.7765,0.51721,1.43285,1.13806,2.08765,0.000602537,0.000602537,0.000602537
131,2034.22,0.73684,0.61852,1.18497,0.84113,0.73906,0.77016,0.52013,1.41597,1.16235,2.09974,0.000594286,0.000594286,0.000594286
132,2049.26,0.74421,0.60121,1.18826,0.74866,0.75245,0.73705,0.50697,1.44022,1.16257,2.18438,0.000586034,0.000586034,0.000586034
133,2063.58,0.75345,0.62611,1.19435,0.79966,0.75344,0.754,0.51939,1.45346,1.16602,2.20788,0.000577782,0.000577782,0.000577782
134,2079.16,0.76954,0.64389,1.20745,0.83067,0.72456,0.77897,0.52655,1.46094,1.17517,2.1654,0.000569531,0.000569531,0.000569531
135,2093.15,0.74552,0.59053,1.17978,0.81153,0.71213,0.75122,0.50918,1.48166,1.28684,2.21227,0.000561279,0.000561279,0.000561279
136,2109.11,0.73585,0.60611,1.17423,0.74441,0.75158,0.75947,0.5301,1.41179,1.21616,2.13631,0.000553027,0.000553027,0.000553027
137,2123.8,0.77608,0.63921,1.22331,0.83151,0.71313,0.75699,0.52101,1.41056,1.161,2.15022,0.000544776,0.000544776,0.000544776
138,2139.35,0.72216,0.60246,1.18331,0.86193,0.71313,0.78194,0.52731,1.43831,1.11841,2.1783,0.000536524,0.000536524,0.000536524
139,2153.77,0.74204,0.62703,1.1925,0.82385,0.71002,0.74933,0.51841,1.41087,1.2194,2.11328,0.000528272,0.000528272,0.000528272
140,2168.77,0.72708,0.60409,1.1869,0.81874,0.72785,0.7685,0.53359,1.42375,1.15773,2.14043,0.000520021,0.000520021,0.000520021
141,2183.57,0.71129,0.58921,1.18056,0.85801,0.7175,0.77504,0.5232,1.44309,1.16205,2.17798,0.000511769,0.000511769,0.000511769
142,2198.64,0.71089,0.59215,1.1725,0.82435,0.74802,0.76604,0.53448,1.40522,1.16057,2.15719,0.000503517,0.000503517,0.000503517
143,2213.6,0.73225,0.57338,1.19018,0.8825,0.71305,0.76462,0.53415,1.40453,1.17869,2.13563,0.000495266,0.000495266,0.000495266
144,2229.09,0.7335,0.59287,1.17359,0.856,0.73099,0.77132,0.52622,1.45703,1.19012,2.19732,0.000487014,0.000487014,0.000487014
145,2244.38,0.70945,0.5831,1.17,0.82807,0.70572,0.74905,0.53113,1.36219,1.19092,2.07528,0.000478762,0.000478762,0.000478762
146,2259.2,0.71044,0.59593,1.16527,0.839,0.72255,0.76118,0.53728,1.42944,1.22209,2.16439,0.000470511,0.000470511,0.000470511
147,2274.54,0.704,0.57105,1.15989,0.82696,0.72747,0.77511,0.53135,1.44232,1.17394,2.20656,0.000462259,0.000462259,0.000462259
148,2289.37,0.70421,0.57182,1.15598,0.74217,0.75072,0.75112,0.52759,1.39512,1.17687,2.13315,0.000454007,0.000454007,0.000454007
149,2304.32,0.70156,0.58032,1.14908,0.7983,0.74049,0.77041,0.53147,1.4414,1.10241,2.15087,0.000445756,0.000445756,0.000445756
150,2319.75,0.70012,0.56931,1.15277,0.79879,0.73185,0.77713,0.52801,1.43925,1.15164,2.16105,0.000437504,0.000437504,0.000437504
151,2335.29,0.74298,0.60517,1.18268,0.80905,0.73992,0.77197,0.54274,1.42495,1.17503,2.16565,0.000429253,0.000429253,0.000429253
152,2349.92,0.69342,0.5678,1.16581,0.83494,0.68894,0.75081,0.52897,1.45291,1.21235,2.24061,0.000421001,0.000421001,0.000421001
